age,education,wantsMore,notUsing,using
<25,0,yes,53,6
<25,0,no,10,4
<25,1,yes,212,52
<25,1,no,50,10
25-29,0,yes,60,14
25-29,0,no,19,10
25-29,1,yes,155,54
25-29,1,no,65,27
30-39,0,yes,112,33
30-39,0,no,77,80
30-39,1,yes,118,46
30-39,1,no,68,78
40-49,0,yes,35,6
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
<25,0,yes,53,6
<25,0,no,10,4
<25,1,yes,212,52
<25,1,no,50,10
25-29,0,yes,60,14
25-29,0,no,19,10
25-29,1,yes,155,54
25-29,1,no,65,27
30-39,0,yes,112,33
30-39,0,no,77,80
30-39,1,yes,118,46
30-39,1,no,68,78
40-49,0,yes,35,6
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
<25,0,yes,53,6
<25,0,no,10,4
<25,1,yes,212,52
<25,1,no,50,10
25-29,0,yes,60,14
25-29,0,no,19,10
25-29,1,yes,155,54
25-29,1,no,65,27
30-39,0,yes,112,33
30-39,0,no,77,80
30-39,1,yes,118,46
30-39,1,no,68,78
40-49,0,yes,35,6
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
<25,0,yes,53,6
<25,0,no,10,4
<25,1,yes,212,52
<25,1,no,50,10
25-29,0,yes,60,14
25-29,0,no,19,10
25-29,1,yes,155,54
25-29,1,no,65,27
30-39,0,yes,112,33
30-39,0,no,77,80
30-39,1,yes,118,46
30-39,1,no,68,78
40-49,0,yes,35,6
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
<25,0,yes,53,6
<25,0,no,10,4
<25,1,yes,212,52
<25,1,no,50,10
25-29,0,yes,60,14
25-29,0,no,19,10
25-29,1,yes,155,54
25-29,1,no,65,27
30-39,0,yes,112,33
30-39,0,no,77,80
30-39,1,yes,118,46
30-39,1,no,68,78
40-49,0,yes,35,6
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
<25,0,yes,53,6
<25,0,no,10,4
<25,1,yes,212,52
<25,1,no,50,10
25-29,0,yes,60,14
25-29,0,no,19,10
25-29,1,yes,155,54
25-29,1,no,65,27
30-39,0,yes,112,33
30-39,0,no,77,80
30-39,1,yes,118,46
30-39,1,no,68,78
40-49,0,yes,35,6
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
40-49,0,no,46,48
40-49,1,yes,8,8
40-49,1,no,12,31
